|<|<=|>|>=|=|<>|+|-|OR|XOR|*|/|DIV|MOD|AND|SHL|SHR|(|)|NOT|ID|NUM|FLOAT_NUM|STRING|FUNCTION|:|;|VAR|,|LONGINT|BOOLEAN|DOUBLE|BEGIN|END|:=|$|SS|E|opR|A|opB|B|opC|C|S|FUN|V|K|P|IL|T|L|BEG|X|Y|M
0|||||||||||||||||||||||||s3||||||||||||||||||||1|2||||||||||
1||||||||||||||||||||||||||||||||||||acc||||||||||||||||||||
2||||||||||||||||||||||||||||s7|||||s6||||||||||||||5||||||4|||
100|||||||r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29||||||||||r29|||||||r29||||||||||||||||||||||
101|||||||r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30||||||||||r30|||||||r30||||||||||||||||||||||
102|||||||r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31||||||||||r31|||||||r31||||||||||||||||||||||
103|r9|r9|r9|r9|r9|r9|r9|r9|r9|r9|s64|s65|s66|s67|s68|s69|s70||||||||||r9|||||||r9|||||||||63|||||||||||||
104|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15||||||||||r15|||||||r15||||||||||||||||||||||
105|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24||||||||||r24|||||||r24||||||||||||||||||||||
106|||||||s125|s124||||||||||s123||s126|s127|s128|s129|s130||||||||||||||||120||121||122||||||||||||
107|||||||s77|s76||||||||||s75||s78|s79|s80|s81|s82||||||||||||||||||131||74||||||||||||
108|||||||s77|s76||||||||||s75||s78|s79|s80|s81|s82||||||||||||||||||||132||||||||||||
109|||||||||||||||||||s133|||||||||||||||||||||||||||||||||||||
110|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25||r25|||||||||||||||||||||||||||||||||||||
111|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26||r26|||||||||||||||||||||||||||||||||||||
