|<|<=|>|>=|=|<>|+|-|OR|XOR|*|/|DIV|MOD|AND|SHL|SHR|(|)|NOT|ID|NUM|FLOAT_NUM|STRING|FUNCTION|:|;|VAR|VAZIO|,|LONGINT|BOOLEAN|DOUBLE|BEGIN|END|:=|$|SS|E|opR|A|opB|B|opC|C|S|FUN|V|K|P|IL|T|L|BEG|X|Y|M
104|r9|r9|r9|r9|r9|r9|r9|r9|r9|r9|s70|s71|s72|s73|s74|s75|s76||||||||||r9||||||||r9|||||||||69|||||||||||||
105|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15||||||||||r15||||||||r15||||||||||||||||||||||
106|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24||||||||||r24||||||||r24||||||||||||||||||||||
107|||||||s126|s125||||||||||s124||s127|s128|s129|s130|s131|||||||||||||||||121||122||123||||||||||||
108|||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||||||132||80||||||||||||
109|||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||||||||133||||||||||||
110|||||||||||||||||||s134||||||||||||||||||||||||||||||||||||||
111|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25||r25||||||||||||||||||||||||||||||||||||||
112|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26||r26||||||||||||||||||||||||||||||||||||||
113|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27||r27||||||||||||||||||||||||||||||||||||||
114||||||||||||||||||||||||||||r33|r33||||||||||||||||||||||||||||
115|||||||s98|s97||||||||||s96||s99|s100|s101|s102|s103|||||||||||||||||||135||95||||||||||||
116|||||||s98|s97||||||||||s96||s99|s100|s101|s102|s103|||||||||||||||||||||136||||||||||||
117|||||||||||||||||||s137||||||||||||||||||||||||||||||||||||||
118|||||||r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25||||||||||r25||||||||r25||||||||||||||||||||||
119|||||||r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26||||||||||r26||||||||r26||||||||||||||||||||||
120|||||||r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27||||||||||r27||||||||r27||||||||||||||||||||||
121|||||||s65|s66|s67|s68|||||||||r2|||||||||||||||||||||||138|||||||||||||||
122|||||||r10|r10|r10|r10|s70|s71|s72|s73|s74|s75|s76||r10|||||||||||||||||||||||||139|||||||||||||
123|||||||r16|r16|r16|r16|r16|r16|r16|r16|r16|r16|r16||r16||||||||||||||||||||||||||||||||||||||
124|||||||s83|s82||||||||||s81||s84|s85|s86|s87|s88|||||||||||||||140||78||79||80||||||||||||
125|||||||s126|s125||||||||||s124||s127|s128|s129|s130|s131|||||||||||||||||||||141||||||||||||
126|||||||s126|s125||||||||||s124||s127|s128|s129|s130|s131|||||||||||||||||||||142||||||||||||
127|||||||s126|s125||||||||||s124||s127|s128|s129|s130|s131|||||||||||||||||||||143||||||||||||
128|||||||r28|r28|r28|r28|r28|r28|r28|r28|r28|r28|r28||r28||||||||||||||||||||||||||||||||||||||
129|||||||r29|r29|r29|r29|r29|r29|r29|r29|r29|r29|r29||r29||||||||||||||||||||||||||||||||||||||
130|||||||r30|r30|r30|r30|r30|r30|r30|r30|r30|r30|r30||r30||||||||||||||||||||||||||||||||||||||
131|||||||r31|r31|r31|r31|r31|r31|r31|r31|r31|r31|r31||r31||||||||||||||||||||||||||||||||||||||
132|r9|r9|r9|r9|r9|r9|r9|r9|r9|r9|s70|s71|s72|s73|s74|s75|s76||r9|||||||||||||||||||||||||109|||||||||||||
133|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15||r15||||||||||||||||||||||||||||||||||||||
134|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24||r24||||||||||||||||||||||||||||||||||||||
135|||||||r9|r9|r9|r9|s70|s71|s72|s73|s74|s75|s76||||||||||r9||||||||r9|||||||||116|||||||||||||
136|||||||r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15||||||||||r15||||||||r15||||||||||||||||||||||
137|||||||r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24||||||||||r24||||||||r24||||||||||||||||||||||
138|||||||s126|s125||||||||||s124||s127|s128|s129|s130|s131|||||||||||||||||||144||123||||||||||||
139|||||||s126|s125||||||||||s124||s127|s128|s129|s130|s131|||||||||||||||||||||145||||||||||||
140|||||||||||||||||||s146||||||||||||||||||||||||||||||||||||||
141|||||||r25|r25|r25|r25|r25|r25|r25|r25|r25|r25|r25||r25||||||||||||||||||||||||||||||||||||||
142|||||||r26|r26|r26|r26|r26|r26|r26|r26|r26|r26|r26||r26||||||||||||||||||||||||||||||||||||||
143|||||||r27|r27|r27|r27|r27|r27|r27|r27|r27|r27|r27||r27||||||||||||||||||||||||||||||||||||||
144|||||||r9|r9|r9|r9|s70|s71|s72|s73|s74|s75|s76||r9|||||||||||||||||||||||||139|||||||||||||
145|||||||r15|r15|r15|r15|r15|r15|r15|r15|r15|r15|r15||r15||||||||||||||||||||||||||||||||||||||
146|||||||r24|r24|r24|r24|r24|r24|r24|r24|r24|r24|r24||r24||||||||||||||||||||||||||||||||||||||
